caption,dataset,category
The squats man picks up a bottle and puts it in the bag.,hcstvg1,3.2 Object Transference
"The man with the bottle walks up to the man sitting in the middle, raises the bottle and turns around, then walks to the bed with the bottle and sits.",hcstvg1,3.4 Composite Action Sequences
man forks a piece of meat with a fork and takes it out,hcstvg1,3.2 Object Transference
The man in gray clothes picks up the little girl's clothes.,hcstvg1,3.2 Object Transference
The woman in the brown skirt looks to the right and to the person to the left.,hcstvg1,1.3.1 Gaze
"The woman in the necklace waved her hand, then takes a few steps to stop.",hcstvg1,3.4 Composite Action Sequences
The man in black clothes helps the person on the left to the stool.,hcstvg1,3.2 Object Transference
A man in military uniform without a hat climbs to the fence and turns it over,hcstvg1,3.3 Instantaneous Motion & Impact
The boy in the green jacket goes to the left of the shortest child and looks at him.,hcstvg1,3.1.1 Approach & Depart
The man turns and holds the woman and hugs her.,hcstvg1,1.2.3 Social/Affectionate Contact
"The man in the gray suit takes a few steps and turns around, then raises his hand.",hcstvg1,3.4 Composite Action Sequences
The man in a turban turns and walks to the man in a white scarf.,hcstvg1,3.1.1 Approach & Depart
The man on the far left walks to the wall and bends down,hcstvg1,3.1.1 Approach & Depart
The bald man walks behind the woman and reaches out to grab the woman's shoulder.,hcstvg1,3.1.1 Approach & Depart
The man in the hat puts down the plate in his hand. Then it turns right.,hcstvg1,3.3 Composite Action Sequences
The boy in the yellow dress walks to the table and pulls over the box.,hcstvg1,3.3 Composite Action Sequences
The woman in the blue dress turns and walks away to her left rear.,hcstvg1,3.1.1 Approach & Depart
Blonde woman hands cup to woman in hat and walks to the back sofa,hcstvg1,3.2 Object Transference
"The woman in short sleeves turns around and walks to the table, then props her handson the table.",hcstvg1,3.4 Composite Action Sequences
The woman in black clothes touches the chest of the man next to her and pushes him away.,hcstvg1,3.3 Instantaneous Motion & Impact
The man in black clothes pulls up the long-haired woman and hugs the long-haired woman to the car.,hcstvg1,3.2 Object Transference
"The man in the red suit picks up something next to the woman in the blue suit, then lowers it and follows the woman in the blue suit.",hcstvg1,3.3 Composite Action Sequences
"The woman in white clothes loosens her hand, covers her mouth, and turns away.",hcstvg1,3.3 Composite Action Sequences
The man in black clothes hands the baby in his arms to the woman on the left.,hcstvg1,3.2 Object Transference
"The woman in the gray dress turns and takes a step forward, looking back at the woman wearing a white headscarf, and then takes another step back, looking at the woman wearing a white headscarf.",hcstvg1,3.4 Composite Action Sequences
The woman runs to the man in the red suit and then runs away with him.,hcstvg1,3.1.1 Approach & Depart
The man in white clothes turns his head to the left and looks back at the person in front of him.,hcstvg1,2.1 Actor State Change
"The man shakes hands with the woman in front, then sits on the sofa.",hcstvg1,3.4 Composite Action Sequences
"The man in the black suit puts his hand on the shoulder of the man in the yellow suit, speaks a few words to him, and puts it down.",hcstvg1,1.2.2 Manipulative Contact
The yellow-haired man raises one hand and drags the chin of the man on the left.,hcstvg1,3.3 Instantaneous Motion & Impact
"The man with a red face turns his head and speaks to the man next to him, and then turns his head forward.",hcstvg1,3.4 Composite Action Sequences
Man eats and turns to look at woman,hcstvg1,3.4 Composite Action Sequences
"The sitting man stands up and pushes the chest of the man in black, then points forward.",hcstvg1,3.4 Composite Action Sequences
The man in white clothes turns and walks away.,hcstvg1,3.1.1 Approach & Depart
The white-bearded man turns his head and looks at the man in white clothes.,hcstvg1,2.1 Actor State Change
The man in white clothes hands the baby in his arms to the man on the left.,hcstvg1,3.2 Object Transference
"The little girl with the plate turns around and hands the plate to the man standing next to her, then walks away.",hcstvg1,3.3 Composite Action Sequences
The man turns his head to looks at the woman and then reaches out to the woman.,hcstvg1,3.4 Composite Action Sequences
"The man in the black suit reaches out and shakes hands with the man on the opposite side, then turns around and carries the man next to him a few steps forward and stops.",hcstvg1,3.4 Composite Action Sequences
The man in black clothes takes off his coat and drops his clothes on the bed.,hcstvg1,3.3 Composite Action Sequences
The sits man puts his left hand on the opposite woman's hand.,hcstvg1,1.2.2 Manipulative Contact
"The man in the black coat walks forward side by side with the young man in the hat, takes out his left hand from his pocket, touches his head, and reaches into his pocket again.",hcstvg1,3.4 Composite Action Sequences
The woman in white clothes turns and looks at the man with the red tie.,hcstvg1,2.1 Actor State Change
The bearded man turns and looks at the people behind him.,hcstvg1,2.1 Actor State Change
"The standing woman puts something in her mouth, then picks up the cloth on the rope, turns around, and warps the cloth around the woman next to her.",hcstvg1,3.3 Composite Action Sequences
"The man with a red face turns his head to look at the man next to him, then turns his head forward and speaks a word.",hcstvg1,3.4 Composite Action Sequences
"The standing man puts the easel under his arm, bends over to pick up something, takes over the thing from the woman next to him, and turns his head.",hcstvg1,3.4 Composite Action Sequences
The driver takes the book and turns then hands it to the person behind.,hcstvg1,3.2 Object Transference
"The man in red clothes turns his head, waving his hand to speak to the man next to him, and then turns his head to the side.",hcstvg1,3.4 Composite Action Sequences
The man holding the paper turns to look at the man on the right.,hcstvg1,3.1.1 Approach & Depart
"The sitting man in green clothes stands up, then turns and walks to the map.",hcstvg1,3.3 Composite Action Sequences
The person in the white turban walks to the person in black and stops.,hcstvg1,3.1.1 Approach & Depart
The woman in purple clothes hugs the boy in the shirt.,hcstvg1,1.2.3 Social/Affectionate Contact
The woman in black clothes raises the glass in her hand and takes a sip.,hcstvg1,3.3 Instantaneous Motion & Impact
The woman with long hair stands up and turns.,hcstvg1,2.1 Actor State Change
The man under the tree comes to the man in a turban.,hcstvg1,3.1.1 Approach & Depart
The man lowers his head and raises it.,hcstvg1,2.1 Actor State Change
The woman in blue clothes picks up something on the table and hands it to her child in the plaid dress.,hcstvg1,3.2 Object Transference
"The girl in black clothes turns her head and looks at the person on the right, then reaches out and picks up the plate on the left and hands it to the person on the right.",hcstvg1,3.4 Composite Action Sequences
The man in brown clothes pats the shoulder of the dark-haired man then turns and walks away.,hcstvg1,3.3 Composite Action Sequences
"The man in the white shirt tosses the book to the opposite person, then turns around.",hcstvg1,3.3 Composite Action Sequences
The standing woman walks to the little girl and hands her the book.,hcstvg1,3.1.1 Approach & Depart
The man with the dog walks to the woman in red dress and laughs and talks to her.,hcstvg1,3.4 Composite Action Sequences
The white-haired man turns his head and lowers his head.,hcstvg1,2.1 Actor State Change
The man on the far right walks to the flowerpot and looks around,hcstvg1,3.1.1 Approach & Depart
"The yellow-haired man takes a few steps forward, turns to speak, and then walks away.",hcstvg1,3.4 Composite Action Sequences
"The woman points her right hand up, and then stretches out her left hand.",hcstvg1,1.3.2 Indicative Gesture
"The child takes the cup hands by the person on the right, then takes the cup hands by the person on the left, and walks away.",hcstvg1,3.3 Composite Action Sequences
"The man in the gray dress raises his hand and speaks a word, walks to the woman in the green dress, and turns.",hcstvg1,3.4 Composite Action Sequences
The man on the left raises his arm and then lowers it again,hcstvg1,2.1 Actor State Change
"The woman in flowered clothes stands up, then stretches out her hands and helps the person next to her.",hcstvg1,3.4 Composite Action Sequences
The man talks as he walking and points his finger at the woman,hcstvg1,3.4 Composite Action Sequences
The man with glasses walks to the table and stops.,hcstvg1,3.1.1 Approach & Depart
The man with something in his hand walks to the sitting man and stoops.,hcstvg1,3.1.1 Approach & Depart
The woman in the red skirt looks back.,hcstvg1,1.3.1 Gaze
The bald man puts down his hand above his head and looks.,hcstvg1,3.4 Composite Action Sequences
The man in white clothes comes to the man holding the stick.,hcstvg1,3.1.1 Approach & Depart
"The man in the white shirt stoops, then puts down the phone and straightens up.",hcstvg1,3.3 Composite Action Sequences
"The man puts a lid on the large pot he holds in his hand, then takes the small pot and pours a glass for the old man in black.",hcstvg1,3.3 Composite Action Sequences
The man in blue clothes opens the fence and scratches the hand of the white-haired man.,hcstvg1,3.3 Instantaneous Motion & Impact
"The woman in a turban reaches out, pushes the door and comes in, looks down at the little girl, and closes the door.",hcstvg1,3.3 Composite Action Sequences
The man in blue clothes stretches his finger to his right and lowers it.,hcstvg1,1.3.2 Indicative Gesture
The man with a cane walks down the stairs and walks in front of the man without a cane.,hcstvg1,3.1.1 Approach & Depart
The man standing by the door frame walks into the room and looks at the front.,hcstvg1,3.1.1 Approach & Depart
The tall man takes the bag in his hand and turns to look at the lying man.,hcstvg1,3.3 Instantaneous Motion & Impact
The man in the black suit slaps the man in front of him.,hcstvg1,3.3 Instantaneous Motion & Impact
The man in black clothes stands up and sits down.,hcstvg1,2.3 Sequential Actions
The woman with the bag walks from the stairs to the house.,hcstvg1,3.1.1 Approach & Depart
The curly man in a light gray suit walks towards the man in the red suit and stretches his left hand to rest on the left shoulder of the man.,hcstvg1,3.1.1 Approach & Depart
The man in red clothes picks up the sword.,hcstvg1,3.2 Object Transference
The woman in the sky blue dress puts her kettle down.,hcstvg1,3.2 Object Transference
The man in blue clothes takes the cup passed by the opposite woman and puts it to his mouth.,hcstvg1,3.2 Object Transference
The woman in orange clothes walks to the front of the horse.,hcstvg1,3.1.1 Approach & Depart
The fat man walks to the table with the tray and puts it down and turns his head to looks at the right side.,hcstvg1,3.3 Composite Action Sequences
"The man in black clothes punches his right hand in the face of the man on the left, and then punches the belly of the man in the blue pants, then beats his face.",hcstvg1,3.3 Instantaneous Motion & Impact
The man in red clothes stands up from the sofa and walks to the man in green.,hcstvg1,3.1.1 Approach & Depart
The man in golden hat and black clothes points at something and sits down.,hcstvg1,3.4 Composite Action Sequences
"The man carries the woman, raises his hand and lowers it.",hcstvg1,3.4 Composite Action Sequences
Tall men goes from the left of the sits man to the right.,hcstvg1,3.1.1 Approach & Depart
The man in the yellow suit lifts something in his hand and puts it on the hand of the man in the gown.,hcstvg1,3.2 Object Transference
The woman turns and grabs the man to talk to him.,hcstvg1,3.1.1 Approach & Depart
The woman in black clothes puts her hands on the table and then lies on the right side of the girl in blue.,hcstvg1,3.4 Composite Action Sequences
The man in yellow clothes stands up and runs away.,hcstvg1,2.1 Actor State Change
"The man in white clothes bends down, speaks to the woman opposite, and then squats.",hcstvg1,3.4 Composite Action Sequences
The woman in orange clothes turns and runs to the door.,hcstvg1,3.1.1 Approach & Depart
The long-haired man walks across from the short-haired man.,hcstvg1,3.1.2 Passing & Crossing
The little girl with two pigtails walks next to the girl in the red dress and looks back.,hcstvg1,3.1.2 Passing & Crossing
The woman in the black dress pushes the door and then watches the opposite woman walk away.,hcstvg1,3.3 Composite Action Sequences
The woman reads the letter and turns to look at the man.,hcstvg1,3.4 Composite Action Sequences
The woman in the skirt turns and falls to the ground.,hcstvg1,2.1 Actor State Change
"The hooded automatic man turns around, takes a few steps.",hcstvg1,2.1 Actor State Change
The man behind the shirtless man turns and squats.,hcstvg1,2.1 Actor State Change
The man in the gray suit stoops and takes the spoon and puts something in the cup.,hcstvg1,3.3 Composite Action Sequences
The white woman turns and walks to the curtain.,hcstvg1,3.1.1 Approach & Depart
The woman in red clothes pulls the boy away.,hcstvg1,3.3 Instantaneous Motion & Impact
The woman in the hat walks out of the carriage and arranges her dress.,hcstvg1,3.3 Composite Action Sequences
"The woman in the green skirt turns her head and looks at the woman behind her, then turns her head again.",hcstvg1,2.1 Actor State Change
The boy in blue clothes takes something from the woman in black.,hcstvg1,3.2 Object Transference
The man standing next to the woman in the red dress turns and walks forward.,hcstvg1,3.1.1 Approach & Depart
"Woman turns back, then comes back",hcstvg1,2.3 Sequential Actions
"The man in white clothes stands up, looks at the man for a while, and then supports the woman next to him with both hands.",hcstvg1,3.4 Composite Action Sequences
The woman in green clothes goes to the left of the woman in white and starts pouring water.,hcstvg1,3.1.1 Approach & Depart
The man in red clothes stretches out a hand.,hcstvg1,1.3.2 Indicative Gesture
"The squatting man stands up, walks to the door, stops, and holds the door.",hcstvg1,3.3 Composite Action Sequences
"The soldier on the right looks at the man on the left as he walks, then turns his head.",hcstvg1,3.4 Composite Action Sequences
The man in white clothes walks to the sky blue man.,hcstvg1,3.1.1 Approach & Depart
The man at the wall turns and opens the door and goes out.,hcstvg1,3.3 Composite Action Sequences
The woman behind the man goes to the man and speaks to the opposite.,hcstvg1,3.1.1 Approach & Depart
"The woman in red clothes touches the woman's shoulder in front of her, then turns and walks to the window.",hcstvg1,3.4 Composite Action Sequences
"The woman in white clothes gives something to the woman in purple clothes, then takes a few steps to turn around and puts her arms aside.",hcstvg1,3.3 Composite Action Sequences
The girl in green clothes jumps off the horse and runs to the river.,hcstvg1,3.1.1 Approach & Depart
The man pulls clothes out of pants and puts them down.,hcstvg1,3.2 Object Transference
The man in red clothes goes to the man in green and turns around.,hcstvg1,3.1.1 Approach & Depart
man in brown coat puts down wine glass and gestures back and forth,hcstvg1,3.3 Composite Action Sequences
The shirtless man embraces the woman and is pushed away by the woman.,hcstvg1,1.2.3 Social/Affectionate Contact
"The man in black clothes goes over to the woman and looks at her, then turns his head.",hcstvg1,3.1.1 Approach & Depart
The little girl is jumping on tiptoes.,hcstvg1,2.1 Actor State Change
The woman in striped clothes turns her head and looks to the left.,hcstvg1,2.1 Actor State Change
The man lying on the wall takes something out of his pocket and hands it to the man behind him.,hcstvg1,3.2 Object Transference
The tall man reaches out and raises the people on the ground.,hcstvg1,3.3 Instantaneous Motion & Impact
"The woman in black clothes goes to the table, leaned against the table, raises her hands, and takes off her two earrings.",hcstvg1,3.3 Composite Action Sequences
The man at the door reaches out and closes the door.,hcstvg1,3.2 Object Transference
The woman in a red headscarf walks up the stairs and looks at the man in a robe.,hcstvg1,3.1.1 Approach & Depart
"The little girl turns her head to look at the sitting man, then turns to speak to the man next to her, then turns away.",hcstvg1,3.4 Composite Action Sequences
"The woman in the skirt walks to the wooden board, and then reaches out to pick up something on the wooden board.",hcstvg1,3.4 Composite Action Sequences
The woman in the trench coat turns around by the man around him and walks to the door.,hcstvg1,3.1.1 Approach & Depart
"The man puts the vegetables on the table, and the woman behind the table kisses the woman.",hcstvg1,3.3 Composite Action Sequences
The woman in a turban takes off her turban and follows the woman in a black dress upstairs.,hcstvg1,3.1.3 Following & Leading
The man opposite the man in blue waving his hand to speak to the man in blue.,hcstvg1,1.4 Communicative Acts
The man in the white shirt comes to the table and stops.,hcstvg1,3.1.1 Approach & Depart
The man in black clothes puts his hands down and walks to the door.,hcstvg1,3.1.1 Approach & Depart
The man in the red vest sits down and touches his right arm with his left hand.,hcstvg1,2.3 Sequential Actions
The man runs to the table and sits down,hcstvg1,3.1.1 Approach & Depart
The man weighs the meat and puts his hand on the table,hcstvg1,3.2 Object Transference
The man in the black hat takes the things off the man next to him and puts them on the carriage.,hcstvg1,3.2 Object Transference
The man puts his hands on the woman's shoulders and turns away.,hcstvg1,3.3 Instantaneous Motion & Impact
"The man in black clothes loosens his mouth and kisses the opposite woman, then turns his head.",hcstvg1,1.2.3 Social/Affectionate Contact
White hat woman turns her head and looks at the man next to her.,hcstvg1,2.1 Actor State Change
The man with sunglasses walks to the door and gets in the car,hcstvg1,3.1.1 Approach & Depart
The man in the hat goes to the man in the blue suit and hands him something.,hcstvg1,3.2 Object Transference
The little boy with a red scarf walks up to the man while holding the stairs.,hcstvg1,3.1.1 Approach & Depart
The man in brown clothes walks next to the man in brown clothes and pats his back.,hcstvg1,3.1.2 Passing & Crossing
"The man next to the woman in the hat stands up, gets out of the boat, walks to the shore, and speaks to the opposite man.",hcstvg1,3.4 Composite Action Sequences
"The woman at the door closes the door, then walks over to the man to take over what is in the man's hand, then goes to the sofa and sits down.",hcstvg1,3.3 Composite Action Sequences
The man in gray clothes walks to the man in black.,hcstvg1,3.1.1 Approach & Depart
The man in the hat goes up the stairs and turns to look straight ahead.,hcstvg1,3.1.1 Approach & Depart
"The man with black beard and long hair lowers his head, then raises his head.",hcstvg1,2.1 Actor State Change
The short man stands up from the stool.,hcstvg1,2.1 Actor State Change
The man leans on the bed with his left arm and then lies down.,hcstvg1,3.4 Composite Action Sequences
The man in the white jacket walks to the pool and reaches out and knocks.,hcstvg1,3.4 Composite Action Sequences
The man in the gray suit puts his hands on the table and turns around.,hcstvg1,3.4 Composite Action Sequences
"The white-haired man turns his head to looks at the person on the right, then turns back.",hcstvg1,2.1 Actor State Change
"The man in the black turban turns and looks forward, then turns back.",hcstvg1,2.1 Actor State Change
"The man with yellow hair wipes his mouth and stands up, then turns around.",hcstvg1,3.3 Composite Action Sequences
"The man in the gray suit turns his head, speaks a few words to the woman behind him, and puts his hand down.",hcstvg1,3.4 Composite Action Sequences
"Black hat man reaches out to the left, then reaches out to the right",hcstvg1,3.4 Composite Action Sequences
"The standing woman takes a sip from the glass that the opposite man hands over, then hands it to the man with a pale face, takes two steps to stops and turns.",hcstvg1,3.3 Composite Action Sequences
The girl with long hair turns her head and stands up.,hcstvg1,2.1 Actor State Change
The woman with glasses picks up the tray and turns to the door.,hcstvg1,3.3 Composite Action Sequences
The man in the vest twists his head and takes the cup from the table.,hcstvg1,3.4 Composite Action Sequences
The man in the orange shirt touches his face and stands up.,hcstvg1,2.1 Actor State Change
The second man from right to left stands up and sits down,hcstvg1,2.1 Actor State Change
The man in the military green clothes turns his head to looks behind him and then turns to looks forward.,hcstvg1,2.1 Actor State Change
"The woman in the car hands the umbrella to the white-haired man next to her, and then gets out of the car.",hcstvg1,3.3 Composite Action Sequences
The man in red clothes raises his hand and speaks a few words to the man next to him.,hcstvg1,3.4 Composite Action Sequences
Short man jumps over the threshold and opens the door of box,hcstvg1,3.3 Composite Action Sequences
The man in the suit tosses the newspaper at the counter and turns.,hcstvg1,3.3 Composite Action Sequences
The undressed fat boy walks to a stone and sits down.,hcstvg1,3.1.1 Approach & Depart
The woman in purple clothes goes to the cabinet.,hcstvg1,3.1.1 Approach & Depart
The man behind pushes the board away and climbs out,hcstvg1,3.3 Instantaneous Motion & Impact
The man in the black suit walks away from the door.,hcstvg1,3.1.1 Approach & Depart
The man in the brown suit walks ahead and passes the pillar.,hcstvg1,3.1.2 Passing & Crossing
The old man closes the door with his elbow and lifts the bucket with his left hand.,hcstvg1,3.3 Composite Action Sequences
"The man in black clothes picks up the kettle on the table and pours a glass of water, then puts the kettle down.",hcstvg1,3.3 Composite Action Sequences
"The fat man hits his leg with his hand, then points to himself again, and then grasps the thing in his hand.",hcstvg1,3.4 Composite Action Sequences
"The man in the khaki suit beats the man in the black suit, and uses his leg to support another man's stomach.",hcstvg1,3.3 Instantaneous Motion & Impact*
The man in the black and red clothes speaks to the person next to him and stands up and walks away.,hcstvg1,3.4 Composite Action Sequences
The man in the shirt turns and looks at the woman opposite.,hcstvg1,1.3.1 Gaze
"The woman next to the stove stands up, hangs the spoon on the wall, then goes to the table and puts something on the table.",hcstvg1,3.4 Composite Action Sequences
The woman in the purple coat turns her head and stands up.,hcstvg1,2.1 Actor State Change
The man in the burgundy suit walks to the phone and reaches for the phone in the other person 's hand.,hcstvg1,3.1.1 Approach & Depart
The man behind opens the door and walks behind the man in front,hcstvg1,3.3 Composite Action Sequences
The woman in the black shirt hugs the person in front of her.,hcstvg1,1.2.3 Social/Affectionate Contact
"The woman in the hat turns and takes off her gloves and hands them to the opposite man, then turns and undressed and walks away.",hcstvg1,3.3 Composite Action Sequences
The man with the cane comes to the stool.,hcstvg1,3.1.1 Approach & Depart
The middle man walks towards the car and puts his glasses on the brim.,hcstvg1,3.1.1 Approach & Depart
"The sitting man in brown clothes stands up, takes off his glasses, and then points forward, then takes two steps forward and stops.",hcstvg1,3.4 Composite Action Sequences
"The man sitting next to the woman waves his hand, speaks to the woman next to him, then touches his forehead and puts his hand on the sofa.",hcstvg1,3.4 Composite Action Sequences
The man in gray clothes opens the paper in his hand and places it in front of the sitting man.,hcstvg1,3.3 Composite Action Sequences
"The short man turns his head and looks at the right side and then looks straight ahead, then turns.",hcstvg1,2.1 Actor State Change
The man with the bag puts the money from the table into the bag.,hcstvg1,3.2 Object Transference
The man sits down and moves the vase from the table to the left of the table.,hcstvg1,3.3 Composite Action Sequences
The man hugs the little girl opposite.,hcstvg1,1.2.3 Social/Affectionate Contact
The man in the blue-red clothes puts his legs down and stands beside the sitting woman and tells him to haunt.,hcstvg1,3.4 Composite Action Sequences
"The standing man takes a few steps in the distance , then turns around .",hcstvg1,3.1.1 Approach & Depart
"The man in jeans walks to the man in the beige suit, turns his head and looks away, then left.",hcstvg1,3.4 Composite Action Sequences
The woman in the purple skirt walks to the left of the sitting person and stops.,hcstvg1,3.1.1 Approach & Depart
"The sitting woman raises her hand and touches a man, then shook her arm again.",hcstvg1,3.3 Instantaneous Motion & Impact
The woman in the necklace pushes the man next to her away and stands up.,hcstvg1,3.3 Instantaneous Motion & Impact
"The man in the hat raises his hand and turns his head, then turns to look at the long-haired woman.",hcstvg1,3.4 Composite Action Sequences
The woman at the door walks into the room and sits down next to the nearest table,hcstvg1,3.1.1 Approach & Depart
The man in white clothes turns to face the woman in the hat and glances back.,hcstvg1,3.4 Composite Action Sequences
The bald man hands the contents to the woman opposite and turns away.,hcstvg1,3.2 Object Transference
"The short man turns his head to the tall man and speaks, then turns his head forward.",hcstvg1,2.1 Actor State Change
The woman to the right of the man in blue clothes raises her hand and touches the head and face of the person next to her.,hcstvg1,1.2.2 Manipulative Contact
The man in gray clothes picks up something on the table and turns around.,hcstvg1,3.3 Composite Action Sequences
"The tall man raises the head of the lying man, then gets up.",hcstvg1,3.3 Composite Action Sequences
The bald man puts his note down and walks away.,hcstvg1,3.3 Composite Action Sequences
"The little girl closes the door, walks to the man carrying the woman in black clothes on her shoulder, and leans against him.",hcstvg1,3.3 Composite Action Sequences
"The little girl runs to the man next to him, holds her neck.",hcstvg1,3.1.1 Approach & Depart
The man grabs the girl's shoulder and lets the girl sit down.,hcstvg1,3.2 Object Transference
The man sits on the chair and moves it.,hcstvg1,3.3 Composite Action Sequences
"The woman in red clothes raises her hand and takes the things from the man next to her, looks at it, and then turns her head to the man.",hcstvg1,3.4 Composite Action Sequences
The rightmost boy walks to the bench and turns around,hcstvg1,3.1.1 Approach & Depart
The man in the purple clothes takes the paper card from the opposite woman and looks up and says something to the woman.,hcstvg1,3.2 Object Transference
gray-haired man walks to woman and kisses woman's hand,hcstvg1,3.1.1 Approach & Depart
The man in blue clothes walks up to the man in red.,hcstvg1,3.1.1 Approach & Depart
"The sitting woman puts the lid on the bottle in her hand, lowers it, and then turns her head.",hcstvg1,3.3 Composite Action Sequences
The man with glasses takes off his glasses with his right hand.,hcstvg1,3.2 Object Transference
The girl in blue clothes goes to the wall and lowers her backpack.,hcstvg1,3.1.1 Approach & Depart
"The man in blue clothes turns around and takes a look, then sets aside the thing.",hcstvg1,3.3 Composite Action Sequences
"The person with the thing in his hand puts his hand on the shoulder of the woman next to him, walks forward, and stops by a piece of wood.",hcstvg1,3.3 Composite Action Sequences
The woman in the white vest goes to the chair and sits down.,hcstvg1,3.4 Composite Action Sequences
The man with sunglasses walks to the sofa and sits down,hcstvg1,3.1.1 Approach & Depart
The man in white clothes turns his head and speaks a few words to the man next to him.,hcstvg1,2.1 Actor State Change
The woman in blue clothes takes off a glove and takes off the bag on her right arm.,hcstvg1,3.3 Composite Action Sequences
The child looks up and opens the door.,hcstvg1,3.3 Composite Action Sequences
"The woman in red clothes runs to the man in black and takes the things in his hand, then turns and runs to the table and picks up the stuff on the table.",hcstvg1,3.3 Composite Action Sequences
The woman in green clothes turns and carries the woman next to her and walks away.,hcstvg1,3.1.1 Approach & Depart
The man in black clothes turns around takes two steps to stop and speaks a word.,hcstvg1,3.4 Composite Action Sequences
"The man on the right throws the thing in his right hand out of the window, then raises his leg",hcstvg1,3.3 Composite Action Sequences
The man raises his hand to grabs the stationery on the table and leans back to the chair.,hcstvg1,3.3 Composite Action Sequences
"The man in the yellow coat, walks forward, with his hands on his back, then turns back and walks back to the man in glasses.",hcstvg1,3.4 Composite Action Sequences
The man in the white shirt reaches for the baby in the left hand.,hcstvg1,3.2 Object Transference
The old man puts his hands together and spreads his hands again,hcstvg1,2.4 Durational States & Non-Actions
Tall man opens the case and then closes,hcstvg1,2.3 Sequential Actions
"The man next to the woman in the hat points at the opposite woman and speaks, then stands up from the chair and sits on the chair.",hcstvg1,3.4 Composite Action Sequences
"The standing woman takes the pen passed by the man next to it, and then write on the paper next to the post, then puts down the pen.",hcstvg1,3.3 Composite Action Sequences
The man in blue clothes approaches the woman and turns around.,hcstvg1,3.1.1 Approach & Depart
"The woman in the yellow dress hugs the opposite man, then releases and walks forward.",hcstvg1,3.3 Composite Action Sequences
The woman in blue clothes touches the child sitting on the stool and walks away.,hcstvg1,3.3 Instantaneous Motion & Impact
The man in white clothes turns his head and speaks to the person next to him.,hcstvg1,3.4 Composite Action Sequences
The man in white clothes walks to the stool and stops.,hcstvg1,3.1.1 Approach & Depart
The woman in blue clothes walks behind the man in blue.,hcstvg1,3.1.1 Approach & Depart
The man in blue clothes stands up from the ground.,hcstvg1,2.1 Actor State Change
"The man in the suit comes out of the door with something in his hand, then stops and turns around.",hcstvg1,3.3 Composite Action Sequences
The man in black clothes reaches out and grabs the man's hand.,hcstvg1,1.2.2 Manipulative Contact
The long-haired woman turns and is pulled back by another person.,hcstvg1,3.1.1 Approach & Depart
The old man walks forward and turns,hcstvg1,3.1.1 Approach & Depart
The long-haired woman turns and looks at the man next to her.,hcstvg1,2.1 Actor State Change
The standing man waving his hand to speak to the woman opposite.,hcstvg1,1.4 Communicative Acts
The man walks to the closet and then carries the woman to the closet,hcstvg1,3.4 Composite Action Sequences
"The woman in white clothes kneeling on the ground turns her head to pick up the bucket, puts it into the pool to fill it, and then puts the bucket on the ground.",hcstvg1,3.3 Composite Action Sequences
Woman picks up tea cup and puts it on a saucer,hcstvg1,3.2 Object Transference
The boy carrying his schoolbag shakes his hands and pulls away.,hcstvg1,3.1.1 Approach & Depart
"The man on crutches takes a few steps forward, then looks at the man in the white hat.",hcstvg1,3.1.1 Approach & Depart
"The woman runs straight ahead, then bends over to the body.",hcstvg1,3.3 Composite Action Sequences
"The man in the red hat walks up to the man in the black hat, looks at him, then nods and leaves.",hcstvg1,3.4 Composite Action Sequences
The man in white clothes stands up and walks to the right,hcstvg1,3.1.1 Approach & Depart
"The man turns his head, leans to the right, and continues to eat.",hcstvg1,2.1 Actor State Change
The man in black clothes walks to the woman in front then turns around.,hcstvg1,3.1.1 Approach & Depart
"The sits woman picks up the thing on the right and drops it, then stands up.",hcstvg1,3.3 Composite Action Sequences
"The sitting little girl gets up from the sofa, walks to the walking man, and pinches his neck.",hcstvg1,3.4 Composite Action Sequences
The man with yellow hair holds the woman's hand opposite him and bends down.,hcstvg1,3.2 Object Transference
The man in brown clothes comes to the table.,hcstvg1,3.1.1 Approach & Depart
The man in black clothes touches the little boy's head and runs away.,hcstvg1,3.3 Instantaneous Motion & Impact
"The man in black clothes reaches out and takes the money in the left man 's hand, and hands him two books.",hcstvg1,3.2 Object Transference
"The fat man in a suit closes the door, picks up a stick from the back of the car with his right hand, and looks back.",hcstvg1,3.3 Composite Action Sequences
The short man follows the person in front of him to the wall and stops.,hcstvg1,3.1.3 Following & Leading
The man in white pants hands something in to the man in the vest.,hcstvg1,3.2 Object Transference
The black man in the hat is pulled in front of the pigtailed man and pushed down by him.,hcstvg1,3.3 Instantaneous Motion & Impact
The sitting man takes the paper out of the box and puts it on the table.,hcstvg1,3.2 Object Transference
The middle man turns to look at the man behind and turns to look at the front.,hcstvg1,2.1 Actor State Change
The man in the blue hoods sweater as waving to the door.,hcstvg1,1.3.2 Indicative Gesture
The man in the red dress pulls the woman and runs to the tree and holds the tree.,hcstvg1,3.4 Composite Action Sequences
The fat woman flings her hands forward and turns.,hcstvg1,3.4 Composite Action Sequences
"puts the hat down with your right hand, then lifts it up and touches your nose again.",hcstvg1,3.3 Composite Action Sequences
The woman in the black dress led the woman in the turban upstairs.,hcstvg1,3.1.3 Following & Leading
The bearded soldier goes forward and puts his cigarette in his left hand.,hcstvg1,3.1.1 Approach & Depart
"The old man takes the apple, then picks up the fruit plate, turns it with the fruit plate.",hcstvg1,3.3 Composite Action Sequences
The woman in short sleeves puts down her pot and sits down.,hcstvg1,3.3 Composite Action Sequences
